record_id,data_provider_code,ID,VIN,VFN,Mh,Man,Tan,T,Va,Ve,Mk,Cn,Ct,Cr,M,Mb,Mt,TPMLM,Ewltp,W,At1,At2,Ft,Fm,Ec,Ep,Z,Zr,IT,Erwltp,Dr,Fc,R,Ech,RLFI,S
eefc96c6-3973-4cbd-bc34-437c17abb460,NL,522,XMBJR7NX2MY024011,IP-P375_2019_00003-6FP-1,FORD MOTOR COMPANY,FORD MOTOR COMPANY,E5*2007/46*0080*05,2AB,BC2X4G,4BDBAQR4,FORD,RANGER,N1G,N1G,2206,,2492,3270,222,3220,1560,1560,DIESEL,M,1996,125,,,E929,4,2023-06-28,2,1,,,
c05aaa1d-230f-4e79-9cbc-86493026fe2d,NL,523,XMBJR7NX2MY024012,IP-P375_2019_00007-6FP-1,FORD MOTOR COMPANY,FORD MOTOR COMPANY,E5*2007/46*0080*05,2AB,YN2X4G,41DBAQV4,FORD,RANGER,N1G,N1G,2358,,2629,3270,243,3220,1560,1560,DIESEL,M,1996,156,,,E929,4,2023-11-08,2,1,,,
43587f33-37bd-44aa-b3e4-4e5f5e29a75b,NL,523,XMBJR7NX2MY024013,IP-P375_2019_00007-6FP-1,FORD MOTOR COMPANY,FORD MOTOR COMPANY,E5*2007/46*0080*05,2AB,YN2X4G,41DBAQV4,FORD,RANGER,N1G,N1G,2358,,2629,3270,243,3220,1560,1560,DIESEL,M,1996,156,,,E929,4,2023-11-08,2,1,,,
df03db26-9860-4d9e-aabc-39df34385c4d,NL,523,XMBJR7NX2MY024014,IP-P375_2019_00007-6FP-1,FORD MOTOR COMPANY,FORD MOTOR COMPANY,E5*2007/46*0080*05,2AB,YN2X4G,41DBAQV4,FORD,RANGER,N1G,N1G,2358,,2629,3270,243,3220,1560,1560,DIESEL,M,1996,156,,,E929,4,2023-11-08,2,1,,,
04b71431-0d47-4a3f-9506-f617dce7b5dd,NL,523,XMBJR7NX2MY024015,IP-P375_2019_00007-6FP-1,FORD MOTOR COMPANY,FORD MOTOR COMPANY,E5*2007/46*0080*05,2AB,YN2X4G,41DBAQV4,FORD,RANGER,N1G,N1G,2358,,2629,3270,243,3220,1560,1560,DIESEL,M,1996,156,,,E929,4,2023-11-08,2,1,,,
21530308-8154-4cc3-b0ca-ab5bbd97c337,NL,523,XMBJR7NX2MY024016,IP-P375_2019_00007-6FP-1,FORD MOTOR COMPANY,FORD MOTOR COMPANY,E5*2007/46*0080*05,2AB,YN2X4G,41DBAQV4,FORD,RANGER,N1G,N1G,2358,,2629,3270,243,3220,1560,1560,DIESEL,M,1996,156,,,E929,4,2023-11-08,2,1,,,
d123a08c-f5fc-48e5-9017-41f03756698c,NL,523,XMBJR7NX2MY024017,IP-P375_2019_00007-6FP-1,FORD MOTOR COMPANY,FORD MOTOR COMPANY,E5*2007/46*0080*05,2AB,YN2X4G,41DBAQV4,FORD,RANGER,N1G,N1G,2358,,2629,3270,243,3220,1560,1560,DIESEL,M,1996,156,,,E929,4,2023-11-08,2,1,,,
d56de030-8cbf-4115-86ca-66a72e1d7537,NL,523,XMBJR7NX2MY024018,IP-P375_2019_00007-6FP-1,FORD MOTOR COMPANY,FORD MOTOR COMPANY,E5*2007/46*0080*05,2AB,YN2X4G,41DBAQV4,FORD,RANGER,N1G,N1G,2358,,2629,3270,243,3220,1560,1560,DIESEL,M,1996,156,,,E929,4,2023-11-08,2,1,,,
9b161da2-99ad-4671-9aa9-308e702781cf,NL,523,XMBJR7NX2MY024019,IP-P375_2019_00007-6FP-1,FORD MOTOR COMPANY,FORD MOTOR COMPANY,E5*2007/46*0080*05,2AB,YN2X4G,41DBAQV4,FORD,RANGER,N1G,N1G,2358,,2629,3270,243,3220,1560,1560,DIESEL,M,1996,156,,,E929,4,2023-11-08,2,1,,,
8fa35739-e577-4fc2-8902-0e2ab7876d96,NL,523,XMBJR7NX2MY024020,IP-P375_2019_00007-6FP-1,FORD MOTOR COMPANY,FORD MOTOR COMPANY,E5*2007/46*0080*05,2AB,YN2X4G,41DBAQV4,FORD,RANGER,N1G,N1G,2358,,2629,3270,243,3220,1560,1560,DIESEL,M,1996,156,,,E929,4,2023-11-08,2,1,,,
